,id,titulo,lingua_original,lancamento,popularidade,media_dos_votos,qtds_votos,tipo_de_midia,adulto
271,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
272,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
273,158876,,Chines,,58.304,8.4,9,Tv,False
274,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
275,117465,,Japones,,62.392,10.0,4,Tv,False
276,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
277,208891,,Japones,,59.825,8.667,3,Tv,False
278,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
279,82856,,Ingles,,1108.646,8.488,8697,Tv,False
280,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
281,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
282,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
283,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
284,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
285,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
286,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
287,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
288,95558,,Ingles,,64.625,8.0,8,Tv,False
289,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
290,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
291,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
292,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
293,158876,,Chines,,58.304,8.4,9,Tv,False
294,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
295,117465,,Japones,,62.392,10.0,4,Tv,False
296,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
297,208891,,Japones,,59.825,8.667,3,Tv,False
298,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
299,82856,,Ingles,,1108.646,8.488,8697,Tv,False
300,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
301,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
302,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
303,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
304,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
305,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
306,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
307,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
308,95558,,Ingles,,64.625,8.0,8,Tv,False
309,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
310,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
311,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
312,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
313,158876,,Chines,,58.304,8.4,9,Tv,False
314,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
315,117465,,Japones,,62.392,10.0,4,Tv,False
316,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
317,208891,,Japones,,59.825,8.667,3,Tv,False
318,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
319,82856,,Ingles,,1108.646,8.488,8697,Tv,False
320,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
321,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
322,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
323,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
324,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
325,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
326,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
327,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
328,95558,,Ingles,,64.625,8.0,8,Tv,False
329,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
330,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
331,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
332,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
333,158876,,Chines,,58.304,8.4,9,Tv,False
334,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
335,117465,,Japones,,62.392,10.0,4,Tv,False
336,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
337,208891,,Japones,,59.825,8.667,3,Tv,False
338,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
339,82856,,Ingles,,1108.646,8.488,8697,Tv,False
340,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
341,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
342,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
343,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
344,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
345,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
346,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
347,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
348,95558,,Ingles,,64.625,8.0,8,Tv,False
349,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
350,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
351,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
352,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
